Date,Description,Amount,Balance
02/07/2025,"VISA PURCHASE 02/07 BUNNINGS 9178 PARRAMATTA",-1874.47,2375.53
03/07/2025,"DIRECT CREDIT 600970 MERIDIAN CONSTRUCTIONS",5688.61,8064.14
03/07/2025,"EFTPOS WOOLWORTHS 4526 PENRITH NSW",-107.46,7956.68
04/07/2025,"CREDIT INTEREST PAID",9.34,7966.02
04/07/2025,"EFTPOS TRADELINK 1965 SPRINGVALE",-145.41,7820.61
04/07/2025,"VISA PURCHASE 04/07 BP RICHMOND VIC",-203.15,7617.46
04/07/2025,"VISA PURCHASE 04/07 XERO.COM",-70.00,7547.46
06/07/2025,"BPAY 689090 AGL ENERGY",-459.71,7087.75
08/07/2025,"DIRECT CREDIT 513588 WESTFIELD RETAIL",4974.02,12061.77
08/07/2025,"EFTPOS CALTEX 5449",-197.95,11863.82
09/07/2025,"VISA PURCHASE 09/07 MICROSOFT 365",-281.33,11582.49
09/07/2025,"TRANSFER 546879",-4006.14,7576.35
10/07/2025,"DIRECT CREDIT 912281 REDGUM PROJECTS",5765.42,13341.77
10/07/2025,"EFTPOS BUNNINGS WAREHOUSE 9378",-773.34,12568.43
10/07/2025,"OSKO PAYMENT TO D PATEL CARPENTRY PTY LTD 930669",-6300.89,6267.54
11/07/2025,"VISA PURCHASE 11/07 AMPOL PENRITH NSW",-144.32,6123.22
11/07/2025,"EFTPOS ULTRA TUNE SYDNEY NS",-466.10,5657.12
11/07/2025,"PAYROLL 342542",-15769.64,-10112.52
12/07/2025,"VISA PURCHASE 12/07 COLES 3121",-139.63,-10252.15
14/07/2025,"VISA PURCHASE 14/07 BUNNINGS 8604 PENRITH NSW",-2217.77,-12469.92
15/07/2025,"ACCOUNT KEEPING FEE",-10.00,-12479.92
15/07/2025,"EFTPOS 8743 GEELONG VIC",-106.07,-12585.99
16/07/2025,"INTEREST CHARGED",-212.80,-12798.79
17/07/2025,"DIRECT CREDIT 825118 HARBOUR CIVIL",12014.40,-784.39
17/07/2025,"VISA PURCHASE 17/07 BP PARRAMATTA",-203.20,-987.59
17/07/2025,"DIRECT DEBIT 942592 TELSTRA CORP",-241.23,-1228.82
17/07/2025,"VISA PURCHASE 17/07 BAKERS DELIGHT 4993",-43.29,-1272.11
17/07/2025,"TRANSFER TO J MCKENZIE CONTRACTING",-4315.75,-5587.86
18/07/2025,"DIRECT DEBIT 403747 NRMA INSURANCE",-142.00,-5729.86
18/07/2025,"VISA PURCHASE 18/07 MICROSOFT 365",-209.60,-5939.46
18/07/2025,"LOAN REPAYMENT 707457 EQUIPMENT FINANCE",-1840.00,-7779.46
19/07/2025,"PAYROLL 597342",-17777.99,-25557.45
20/07/2025,"VISA PURCHASE 20/07 BP NEWCASTLE",-97.26,-25654.71
21/07/2025,"DEPOSIT NORTHSIDE BUILDERS PROGRESS CLAIM 671477",25769.66,114.95
21/07/2025,"VISA PURCHASE 21/07 BUNNINGS 4591 BRISBANE QL",-1538.65,-1423.70
21/07/2025,"TRANSFER TO 647272 YARD RENT MONTHLY",-3300.00,-4723.70
21/07/2025,"DIRECT DEBIT 114212 AUSTRALIANSUPER SGC",-1697.76,-6421.46
21/07/2025,"INTERNATIONAL TRANSACTION FEE",-1.02,-6422.48
22/07/2025,"EFTPOS WOOLWORTHS 7348 SYDNEY NS",-75.06,-6497.54
23/07/2025,"VISA PURCHASE 23/07 MITRE 10 BLACKTOWN",-514.52,-7012.06
23/07/2025,"VISA PURCHASE 23/07 BAKERS DELIGHT 8845",-13.45,-7025.51
25/07/2025,"DIRECT CREDIT 293759 CENTENNIAL GROUP",9360.15,2334.64
25/07/2025,"DIRECT DEBIT 338653 REECE PLUMBING",-378.78,1955.86
25/07/2025,"TRANSFER TO D PATEL CARPENTRY CONTRACTING",-4254.55,-2298.69
29/07/2025,"EFTPOS BUNNINGS WAREHOUSE 7295",-1692.68,-3991.37
30/07/2025,"OSKO PAYMENT FROM ATLAS PROPERTY GRP INV 354016",7814.46,3823.09
30/07/2025,"EFTPOS CALTEX 2471",-188.39,3634.70
30/07/2025,"DIRECT DEBIT 952778 CGU BUSINESS INSURANCE",-486.00,3148.70
01/08/2025,"VISA PURCHASE 01/08 COLES 4989",-68.84,3079.86
02/08/2025,"VISA PURCHASE 02/08 AWS EMEA AUD",-47.01,3032.85
