Date,Description,Amount,Balance
01/07/2026,"DIRECT CREDIT 723406 MERIDIAN CONSTRUCTIONS",10530.82,14780.82
02/07/2026,"VISA PURCHASE 02/07 BUNNINGS 7536 MELBOURNE VI",-2027.23,12753.59
02/07/2026,"VISA PURCHASE 02/07 AMPOL PARRAMATTA",-85.07,12668.52
03/07/2026,"DEPOSIT NORTHSIDE BUILDERS PROGRESS CLAIM 582577",29497.73,42166.25
03/07/2026,"DIRECT DEBIT 424766 REECE PLUMBING",-1637.28,40528.97
05/07/2026,"VISA PURCHASE 05/07 OFFICEWORKS 3163 GEELONG VIC",-106.23,40422.74
05/07/2026,"TRANSFER TO APEX ELECTRICAL CONTRACTING",-4985.98,35436.76
06/07/2026,"TRANSFER TO 763794 YARD RENT MONTHLY",-3300.00,32136.76
06/07/2026,"EFTPOS WOOLWORTHS 4139 BRISBANE QL",-150.11,31986.65
07/07/2026,"OSKO PAYMENT FROM REDGUM PROJECTS INV 916673",5447.97,37434.62
07/07/2026,"EFTPOS CALTEX 2118",-100.16,37334.46
07/07/2026,"PAYROLL 535159",-16477.49,20856.97
07/07/2026,"INTEREST CHARGED",-297.31,20559.66
08/07/2026,"VISA PURCHASE 08/07 BUNNINGS 5834 PENRITH NSW",-1220.53,19339.13
08/07/2026,"EFTPOS TRADELINK 6321 NEWCASTLE",-370.40,18968.73
08/07/2026,"VISA PURCHASE 08/07 XERO.COM",-70.00,18898.73
09/07/2026,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 524201",13793.34,32692.07
09/07/2026,"EFTPOS BUNNINGS WAREHOUSE 4188",-1593.87,31098.20
09/07/2026,"VISA PURCHASE 09/07 MICROSOFT 365",-194.69,30903.51
09/07/2026,"TRANSFER TO D PATEL CARPENTRY CONTRACTING",-3286.94,27616.57
11/07/2026,"VISA PURCHASE 11/07 MITRE 10 PENRITH NSW",-786.37,26830.20
11/07/2026,"VISA PURCHASE 11/07 BP GEELONG VIC",-153.63,26676.57
13/07/2026,"EFTPOS WOOLWORTHS 1823 BLACKTOWN",-147.90,26528.67
13/07/2026,"DIRECT DEBIT 270534 NSW FAIR TRADING LICENCE",-419.90,26108.77
13/07/2026,"EFTPOS 4971 NEWCASTLE",-153.04,25955.73
14/07/2026,"OSKO PAYMENT FROM HARBOUR CIVIL INV 727659",7924.91,33880.64
14/07/2026,"BPAY 271315 ATO BUSINESS ACTIVITY STATEMENT",-8025.18,25855.46
15/07/2026,"VISA PURCHASE 15/07 BUNNINGS 5229 MELBOURNE VI",-311.74,25543.72
15/07/2026,"OSKO PAYMENT TO TRUE LINE PLUMBING PTY LTD 416006",-3057.70,22486.02
16/07/2026,"LOAN REPAYMENT 956005 EQUIPMENT FINANCE",-1840.00,20646.02
18/07/2026,"VISA PURCHASE 18/07 AMPOL SPRINGVALE",-151.72,20494.30
20/07/2026,"BPAY 242743 AGL ENERGY",-602.34,19891.96
20/07/2026,"VISA PURCHASE 20/07 COLES 2277",-81.19,19810.77
20/07/2026,"TFR 935861",-2695.96,17114.81
21/07/2026,"DIRECT CREDIT 782987 BRIGHTON HOMES",6458.90,23573.71
21/07/2026,"EFTPOS CALTEX 7802",-98.81,23474.90
21/07/2026,"PAYROLL 168780",-17121.26,6353.64
23/07/2026,"DIRECT DEBIT 781466 REECE PLUMBING",-232.99,6120.65
23/07/2026,"TRANSFER TO TRUE LINE PLUMBING CONTRACTING",-1266.23,4854.42
24/07/2026,"VISA PURCHASE 24/07 BUNNINGS 1537 NEWCASTLE",-1953.39,2901.03
24/07/2026,"VISA PURCHASE 24/07 MITRE 10 NEWCASTLE",-306.22,2594.81
27/07/2026,"VISA PURCHASE 27/07 BAKERS DELIGHT 7945",-28.88,2565.93
27/07/2026,"INTERNATIONAL TRANSACTION FEE",-1.59,2564.34
28/07/2026,"DIRECT CREDIT 181664 REDGUM PROJECTS",10983.62,13547.96
29/07/2026,"DEPOSIT CENTENNIAL GROUP PROGRESS CLAIM 974106",31646.53,45194.49
29/07/2026,"VISA PURCHASE 29/07 AWS EMEA AUD",-82.62,45111.87
30/07/2026,"EFTPOS BUNNINGS WAREHOUSE 8430",-878.95,44232.92
30/07/2026,"PAYROLL 266108",-15607.28,28625.64
30/07/2026,"OSKO PAYMENT TO J MCKENZIE PTY LTD 274656",-6482.10,22143.54
30/07/2026,"PAYMENT T WILLIAMS",-1430.84,20712.70
31/07/2026,"DIRECT DEBIT 235357 CGU BUSINESS INSURANCE",-486.00,20226.70
02/08/2026,"EFTPOS TRADELINK 5965 NEWCASTLE",-1079.07,19147.63
02/08/2026,"VISA PURCHASE 02/08 COLES 2328",-25.90,19121.73
03/08/2026,"DIRECT CREDIT 447035 HARBOUR CIVIL",9415.04,28536.77
03/08/2026,"EFTPOS CALTEX 7447",-197.02,28339.75
04/08/2026,"EFTPOS BUNNINGS WAREHOUSE 4180",-1468.32,26871.43
04/08/2026,"VISA PURCHASE 04/08 OFFICEWORKS 8201 SPRINGVALE",-216.54,26654.89
05/08/2026,"OSKO PAYMENT FROM HARBOUR CIVIL INV 486207",6057.92,32712.81
05/08/2026,"DIRECT DEBIT 643415 NRMA INSURANCE",-142.00,32570.81
06/08/2026,"VISA PURCHASE 06/08 MICROSOFT 365",-201.02,32369.79
06/08/2026,"TRANSFER TO D PATEL CARPENTRY CONTRACTING",-2929.37,29440.42
07/08/2026,"EFTPOS CALTEX 6939",-175.03,29265.39
07/08/2026,"EFTPOS 5604 PENRITH NSW",-423.03,28842.36
07/08/2026,"DIRECT DEBIT 548788",-83.11,28759.25
08/08/2026,"VISA PURCHASE 08/08 BUNNINGS 8363 PARRAMATTA",-1023.86,27735.39
12/08/2026,"EFTPOS BUNNINGS WAREHOUSE 8294",-836.16,26899.23
12/08/2026,"EFTPOS CALTEX 1483",-118.20,26781.03
12/08/2026,"OSKO PAYMENT TO D PATEL CARPENTRY PTY LTD 403463",-5971.90,20809.13
13/08/2026,"DIRECT CREDIT 346402 BRIGHTON HOMES",2230.16,23039.29
13/08/2026,"DIRECT DEBIT 189380 TELSTRA CORP",-207.51,22831.78
13/08/2026,"VISA PURCHASE 13/08 BAKERS DELIGHT 1415",-26.71,22805.07
14/08/2026,"VISA PURCHASE 14/08 BUNNINGS 2663 PENRITH NSW",-995.03,21810.04
14/08/2026,"PAYROLL 875573",-16226.73,5583.31
18/08/2026,"DIRECT CREDIT 792695 WESTFIELD RETAIL",6312.34,11895.65
18/08/2026,"VISA PURCHASE 18/08 BUNNINGS 1159 PARRAMATTA",-1298.28,10597.37
18/08/2026,"TRANSFER TO 295347 YARD RENT MONTHLY",-3300.00,7297.37
19/08/2026,"VISA PURCHASE 19/08 BP NEWCASTLE",-207.60,7089.77
19/08/2026,"VISA PURCHASE 19/08 MICROSOFT 365",-319.75,6770.02
19/08/2026,"VISA PURCHASE 19/08 COLES 9682",-179.53,6590.49
20/08/2026,"ACCOUNT KEEPING FEE",-10.00,6580.49
21/08/2026,"CREDIT INTEREST PAID",26.76,6607.25
21/08/2026,"EFTPOS TRADELINK 2690 GEELONG VIC",-139.70,6467.55
21/08/2026,"TRANSFER TO SOUTHERN CONCRETING CONTRACTING",-5764.92,702.63
22/08/2026,"DIRECT DEBIT 697965 REECE PLUMBING",-301.26,401.37
24/08/2026,"DEPOSIT BRIGHTON HOMES PROGRESS CLAIM 442360",22340.82,22742.19
24/08/2026,"VISA PURCHASE 24/08 BUNNINGS 1909 NEWCASTLE",-1818.84,20923.35
24/08/2026,"VISA PURCHASE 24/08 MITRE 10 SYDNEY NS",-305.84,20617.51
25/08/2026,"DIRECT CREDIT 570386 MERIDIAN CONSTRUCTIONS",9369.35,29986.86
25/08/2026,"TRANSFER TO APEX ELECTRICAL CONTRACTING",-1764.04,28222.82
25/08/2026,"EFTPOS 3137 NEWCASTLE",-596.04,27626.78
26/08/2026,"EFTPOS WOOLWORTHS 7971 BLACKTOWN",-104.48,27522.30
27/08/2026,"BPAY 145969 AGL ENERGY",-528.63,26993.67
28/08/2026,"VISA PURCHASE 28/08 BUNNINGS 6526 BLACKTOWN",-309.12,26684.55
28/08/2026,"VISA PURCHASE 28/08 BP BLACKTOWN",-175.96,26508.59
28/08/2026,"LOAN REPAYMENT 146484 EQUIPMENT FINANCE",-1840.00,24668.59
01/09/2026,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 781472",10570.89,35239.48
01/09/2026,"EFTPOS CALTEX 7565",-123.02,35116.46
01/09/2026,"PAYROLL 181817",-16449.75,18666.71
02/09/2026,"EFTPOS BUNNINGS WAREHOUSE 8998",-1646.60,17020.11
02/09/2026,"VISA PURCHASE 02/09 MITRE 10 GEELONG VIC",-663.49,16356.62
02/09/2026,"DIRECT DEBIT 751455 REECE PLUMBING",-2493.21,13863.41
02/09/2026,"VISA PURCHASE 02/09 OFFICEWORKS 4183 SPRINGVALE",-158.99,13704.42
02/09/2026,"VISA PURCHASE 02/09 BAKERS DELIGHT 7803",-35.98,13668.44
03/09/2026,"TRANSFER TO 740047 YARD RENT MONTHLY",-3300.00,10368.44
03/09/2026,"VISA PURCHASE 03/09 COLES 2380",-83.90,10284.54
03/09/2026,"TRANSFER TO SOUTHERN CONCRETING CONTRACTING",-5325.52,4959.02
03/09/2026,"PAYMENT T WILLIAMS",-1809.88,3149.14
05/09/2026,"DIRECT DEBIT 910011",-333.90,2815.24
06/09/2026,"VISA PURCHASE 06/09 BP MELBOURNE VI",-114.12,2701.12
07/09/2026,"CREDIT INTEREST PAID",34.80,2735.92
07/09/2026,"OSKO PAYMENT TO SOUTHERN CONCRETING PTY LTD 687270",-3100.13,-364.21
08/09/2026,"VISA PURCHASE 08/09 BP SPRINGVALE",-174.67,-538.88
08/09/2026,"PAYROLL 872122",-14598.54,-15137.42
08/09/2026,"DIRECT DEBIT 876949 AUSTRALIANSUPER SGC",-1765.70,-16903.12
09/09/2026,"DIRECT CREDIT 390934 NORTHSIDE BUILDERS",9597.43,-7305.69
09/09/2026,"VISA PURCHASE 09/09 BUNNINGS 2538 BLACKTOWN",-1354.69,-8660.38
10/09/2026,"EFTPOS TRADELINK 9984 BRISBANE QL",-1041.16,-9701.54
10/09/2026,"VISA PURCHASE 10/09 XERO.COM",-70.00,-9771.54
11/09/2026,"VISA PURCHASE 11/09 BUNNINGS 2809 RICHMOND VIC",-1588.60,-11360.14
11/09/2026,"VISA PURCHASE 11/09 AWS EMEA AUD",-217.54,-11577.68
11/09/2026,"VISA PURCHASE 11/09 COLES 9176",-85.53,-11663.21
14/09/2026,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 305292",7967.42,-3695.79
14/09/2026,"EFTPOS CALTEX 9619",-108.87,-3804.66
14/09/2026,"OSKO PAYMENT TO TRUE LINE PLUMBING PTY LTD 736743",-3158.35,-6963.01
16/09/2026,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 595099",5655.41,-1307.60
16/09/2026,"EFTPOS BUNNINGS WAREHOUSE 5166",-512.69,-1820.29
16/09/2026,"DIRECT DEBIT 729104 TELSTRA CORP",-192.46,-2012.75
16/09/2026,"TFR 695228",-3199.26,-5212.01
18/09/2026,"ACCOUNT KEEPING FEE",-10.00,-5222.01
18/09/2026,"TRANSFER TO SOUTHERN CONCRETING CONTRACTING",-4705.98,-9927.99
18/09/2026,"EFTPOS 2421 MELBOURNE VI",-413.35,-10341.34
19/09/2026,"EFTPOS BUNNINGS WAREHOUSE 1914",-1971.17,-12312.51
21/09/2026,"DIRECT CREDIT 675508 WESTFIELD RETAIL",3686.82,-8625.69
21/09/2026,"VISA PURCHASE 21/09 BOB JANE T-MART 2918",-1197.18,-9822.87
21/09/2026,"INTEREST CHARGED",-184.26,-10007.13
23/09/2026,"PAYROLL 750506",-16041.51,-26048.64
24/09/2026,"EFTPOS BUNNINGS WAREHOUSE 6043",-1658.45,-27707.09
24/09/2026,"VISA PURCHASE 24/09 MITRE 10 SPRINGVALE",-784.38,-28491.47
24/09/2026,"BPAY 748595 AGL ENERGY",-385.74,-28877.21
25/09/2026,"DIRECT CREDIT 168605 REDGUM PROJECTS",17681.42,-11195.79
25/09/2026,"EFTPOS CALTEX 5236",-166.99,-11362.78
25/09/2026,"LOAN REPAYMENT 976250 EQUIPMENT FINANCE",-1840.00,-13202.78
25/09/2026,"OSKO PAYMENT TO APEX ELECTRICAL PTY LTD 167217",-6144.77,-19347.55
27/09/2026,"DIRECT DEBIT 650803 REECE PLUMBING",-2200.36,-21547.91
28/09/2026,"VISA PURCHASE 28/09 AMPOL BRISBANE QL",-57.52,-21605.43
28/09/2026,"VISA PURCHASE 28/09 AWS EMEA AUD",-104.30,-21709.73
28/09/2026,"VISA PURCHASE 28/09 COLES 6632",-143.87,-21853.60
28/09/2026,"VISA PURCHASE 28/09 BAKERS DELIGHT 4732",-54.35,-21907.95
29/09/2026,"DIRECT CREDIT 410116 REDGUM PROJECTS",14952.83,-6955.12
30/09/2026,"VISA PURCHASE 30/09 BUNNINGS 6949 MELBOURNE VI",-2068.23,-9023.35
