Date,Description,Amount,Balance
01/07/2025,"DIRECT CREDIT 723406 MERIDIAN CONSTRUCTIONS",8290.88,9470.88
03/07/2025,"EFTPOS CAMPOS COFFEE PARRAMATTA",-29.57,9441.31
04/07/2025,"TRANSFER TO 181390 OWNER DRAWINGS",-2980.30,6461.01
04/07/2025,"EFTPOS 3587 SPRINGVALE",-150.66,6310.35
06/07/2025,"DIRECT DEBIT 842205",-253.89,6056.46
07/07/2025,"VISA PURCHASE 07/07 OFFICEWORKS 8152",-195.98,5860.48
08/07/2025,"VISA PURCHASE 08/07 CANVA",-115.80,5744.68
09/07/2025,"EFTPOS THE DAILY GRIND SYDNEY NS",-10.93,5733.75
10/07/2025,"OSKO PAYMENT FROM REDGUM PROJECTS INV 916673",4330.63,10064.38
12/07/2025,"VISA PURCHASE 12/07 UBER TRIP 684987",-51.44,10012.94
14/07/2025,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 524201",10832.85,20845.79
14/07/2025,"EFTPOS CAMPOS COFFEE BRISBANE QL",-6.51,20839.28
18/07/2025,"EFTPOS CAMPOS COFFEE BLACKTOWN",-12.04,20827.24
18/07/2025,"TRANSFER 809837",-2333.47,18493.77
19/07/2025,"VISA PURCHASE 19/07 ADOBE SYSTEMS",-132.41,18361.36
20/07/2025,"EFTPOS CAMPOS COFFEE BRISBANE QL",-36.74,18324.62
21/07/2025,"OSKO PAYMENT FROM HARBOUR CIVIL INV 727659",6260.52,24585.14
21/07/2025,"VISA PURCHASE 21/07 VIRGIN AUSTRALIA",-377.35,24207.79
22/07/2025,"DIRECT DEBIT 147557 OPTUS BILLING",-118.69,24089.10
24/07/2025,"EFTPOS TOBYS ESTATE PARRAMATTA",-31.74,24057.36
25/07/2025,"TRANSFER TO 154135 OWNER DRAWINGS",-4971.49,19085.87
28/07/2025,"OSKO PAYMENT FROM PACIFIC FITOUTS INV 944872",3539.93,22625.80
28/07/2025,"CREDIT INTEREST PAID",7.70,22633.50
28/07/2025,"DIRECT DEBIT 311450 HOSTPLUS SUPER",-1232.54,21400.96
29/07/2025,"EFTPOS THE DAILY GRIND RICHMOND VIC",-36.94,21364.02
30/07/2025,"EFTPOS 4335 PARRAMATTA",-327.28,21036.74
01/08/2025,"DIRECT CREDIT 159840 REDGUM PROJECTS",10858.09,31894.83
01/08/2025,"VISA PURCHASE 01/08 CANVA",-152.72,31742.11
06/08/2025,"EFTPOS SEVEN SEEDS RICHMOND VIC",-5.25,31736.86
07/08/2025,"OSKO PAYMENT FROM PACIFIC FITOUTS INV 768886",11865.48,43602.34
08/08/2025,"VISA PURCHASE 08/08 ATLASSIAN",-177.11,43425.23
08/08/2025,"DIRECT DEBIT 676600 OPTUS BILLING",-97.42,43327.81
09/08/2025,"PAYMENT J SMITH",-1815.33,41512.48
12/08/2025,"TRANSFER TO 382818 OWNER DRAWINGS",-5648.02,35864.46
14/08/2025,"EFTPOS THE DAILY GRIND BLACKTOWN",-24.35,35840.11
16/08/2025,"OSKO PAYMENT FROM ATLAS PROPERTY GRP INV 313013",7190.08,43030.19
19/08/2025,"TRANSFER TO 848242 OWNER DRAWINGS",-3187.23,39842.96
20/08/2025,"EFTPOS SEVEN SEEDS GEELONG VIC",-38.94,39804.02
20/08/2025,"ACCOUNT KEEPING FEE",-6.00,39798.02
21/08/2025,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 531140",14352.64,54150.66
22/08/2025,"VISA PURCHASE 22/08 CANVA",-53.52,54097.14
22/08/2025,"BPAY 654870 ATO INTEGRATED CLIENT ACCOUNT",-4263.39,49833.75
26/08/2025,"DIRECT CREDIT 890712 HARBOUR CIVIL",7105.26,56939.01
26/08/2025,"DIRECT DEBIT 734000 CPA AUSTRALIA MEMBERSHIP",-745.00,56194.01
26/08/2025,"EFTPOS 7748 PENRITH NSW",-134.45,56059.56
26/08/2025,"PAYMENT A NGUYEN",-690.51,55369.05
27/08/2025,"VISA PURCHASE 27/08 QANTAS AIRWAYS",-835.62,54533.43
29/08/2025,"EFTPOS THE DAILY GRIND GEELONG VIC",-22.98,54510.45
02/09/2025,"EFTPOS THE DAILY GRIND SYDNEY NS",-36.92,54473.53
05/09/2025,"OSKO PAYMENT FROM ATLAS PROPERTY GRP INV 334043",6535.64,61009.17
05/09/2025,"VISA PURCHASE 05/09 UBER TRIP 794778",-44.50,60964.67
07/09/2025,"TRANSFER 728563",-806.20,60158.47
08/09/2025,"VISA PURCHASE 08/09 CANVA",-65.04,60093.43
08/09/2025,"TRANSFER TO 912727 OWNER DRAWINGS",-4668.25,55425.18
10/09/2025,"OSKO PAYMENT FROM NORTHSIDE BUILDERS INV 232254",5972.19,61397.37
10/09/2025,"EFTPOS SEVEN SEEDS PENRITH NSW",-22.96,61374.41
10/09/2025,"DIRECT DEBIT 226483",-191.87,61182.54
12/09/2025,"EFTPOS THE DAILY GRIND PARRAMATTA",-41.65,61140.89
12/09/2025,"ACCOUNT KEEPING FEE",-6.00,61134.89
15/09/2025,"VISA PURCHASE 15/09 UBER TRIP 451209",-58.82,61076.07
17/09/2025,"VISA PURCHASE 17/09 CANVA",-73.11,61002.96
18/09/2025,"EFTPOS TOBYS ESTATE SYDNEY NS",-29.67,60973.29
19/09/2025,"OSKO PAYMENT FROM REDGUM PROJECTS INV 901724",11454.16,72427.45
24/09/2025,"OSKO PAYMENT FROM CENTENNIAL GROUP INV 627904",6266.51,78693.96
26/09/2025,"CREDIT INTEREST PAID",15.79,78709.75
26/09/2025,"EFTPOS SEVEN SEEDS BLACKTOWN",-18.98,78690.77
26/09/2025,"DIRECT DEBIT 954410",-335.50,78355.27
29/09/2025,"VISA PURCHASE 29/09 UBER TRIP 389664",-23.61,78331.66
01/10/2025,"VISA PURCHASE 01/10 ADOBE SYSTEMS",-77.94,78253.72
02/10/2025,"EFTPOS TOBYS ESTATE RICHMOND VIC",-20.51,78233.21
04/10/2025,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 918523",2177.30,80410.51
07/10/2025,"CREDIT INTEREST PAID",2.28,80412.79
07/10/2025,"VISA PURCHASE 07/10 VIRGIN AUSTRALIA",-889.00,79523.79
07/10/2025,"EFTPOS THE DAILY GRIND NEWCASTLE",-32.45,79491.34
08/10/2025,"VISA PURCHASE 08/10 ADOBE SYSTEMS",-142.39,79348.95
08/10/2025,"EFTPOS SEVEN SEEDS BRISBANE QL",-19.61,79329.34
09/10/2025,"TFR 121254",-1196.70,78132.64
10/10/2025,"VISA PURCHASE 10/10 OFFICEWORKS 8491",-53.65,78078.99
10/10/2025,"ACCOUNT KEEPING FEE",-6.00,78072.99
10/10/2025,"TRANSFER TO 438636 OWNER DRAWINGS",-4656.73,73416.26
14/10/2025,"EFTPOS CAMPOS COFFEE BRISBANE QL",-24.28,73391.98
15/10/2025,"EFTPOS SEVEN SEEDS PARRAMATTA",-28.18,73363.80
16/10/2025,"VISA PURCHASE 16/10 UBER TRIP 205266",-57.15,73306.65
18/10/2025,"OSKO PAYMENT FROM K&L DEVELOPMENTS INV 182094",4179.17,77485.82
18/10/2025,"DIRECT DEBIT 632692 OPTUS BILLING",-103.79,77382.03
21/10/2025,"OSKO PAYMENT FROM ATLAS PROPERTY GRP INV 954801",12178.30,89560.33
21/10/2025,"EFTPOS THE DAILY GRIND PENRITH NSW",-17.90,89542.43
21/10/2025,"EFTPOS 6528 MELBOURNE VI",-630.49,88911.94
22/10/2025,"TRANSFER TO 517627 OWNER DRAWINGS",-3269.85,85642.09
23/10/2025,"VISA PURCHASE 23/10 ATLASSIAN",-72.34,85569.75
24/10/2025,"EFTPOS SEVEN SEEDS NEWCASTLE",-33.67,85536.08
27/10/2025,"VISA PURCHASE 27/10 OFFICEWORKS 4891",-122.85,85413.23
29/10/2025,"DIRECT CREDIT 804143 MERIDIAN CONSTRUCTIONS",10635.82,96049.05
30/10/2025,"EFTPOS CAMPOS COFFEE GEELONG VIC",-21.64,96027.41
31/10/2025,"VISA PURCHASE 31/10 UBER TRIP 448061",-39.30,95988.11
