Date,Description,Amount,Balance
02/07/2026,"EFTPOS SEVEN SEEDS RICHMOND VIC",-41.13,1138.87
04/07/2026,"DIRECT CREDIT 202034 WESTFIELD RETAIL",10809.13,11948.00
05/07/2026,"EFTPOS SEVEN SEEDS PENRITH NSW",-16.84,11931.16
06/07/2026,"TRANSFER TO 315361 OWNER DRAWINGS",-5566.25,6364.91
07/07/2026,"VISA PURCHASE 07/07 UBER TRIP 851348",-35.65,6329.26
07/07/2026,"EFTPOS 1945 GEELONG VIC",-551.61,5777.65
10/07/2026,"VISA PURCHASE 10/07 ADOBE SYSTEMS",-105.70,5671.95
11/07/2026,"EFTPOS THE DAILY GRIND PARRAMATTA",-26.07,5645.88
13/07/2026,"DIRECT CREDIT 734497 K&L DEVELOPMENTS",9931.76,15577.64
15/07/2026,"EFTPOS CAMPOS COFFEE RICHMOND VIC",-11.66,15565.98
16/07/2026,"VISA PURCHASE 16/07 SINGAPORE AIRLINES INTERNATIONAL",-1688.56,13877.42
17/07/2026,"EFTPOS SEVEN SEEDS PARRAMATTA",-33.91,13843.51
19/07/2026,"DIRECT CREDIT 472982 NORTHSIDE BUILDERS",14494.13,28337.64
21/07/2026,"VISA PURCHASE 21/07 ATLASSIAN",-110.81,28226.83
21/07/2026,"EFTPOS THE DAILY GRIND PARRAMATTA",-6.61,28220.22
22/07/2026,"CREDIT INTEREST PAID",21.66,28241.88
22/07/2026,"DIRECT DEBIT 122270 OPTUS BILLING",-132.99,28108.89
26/07/2026,"VISA PURCHASE 26/07 OFFICEWORKS 4187",-219.03,27889.86
27/07/2026,"TRANSFER TO 694361 OWNER DRAWINGS",-3542.24,24347.62
27/07/2026,"PAYMENT T WILLIAMS",-1952.85,22394.77
28/07/2026,"OSKO PAYMENT FROM CENTENNIAL GROUP INV 691644",11367.30,33762.07
28/07/2026,"TRANSFER 622931",-530.56,33231.51
29/07/2026,"VISA PURCHASE 29/07 ADOBE SYSTEMS",-25.38,33206.13
29/07/2026,"EFTPOS THE DAILY GRIND SYDNEY NS",-30.61,33175.52
29/07/2026,"BPAY 792667 ATO INTEGRATED CLIENT ACCOUNT",-6527.28,26648.24
30/07/2026,"VISA PURCHASE 30/07 VIRGIN AUSTRALIA",-630.43,26017.81
03/08/2026,"EFTPOS SEVEN SEEDS RICHMOND VIC",-19.00,25998.81
03/08/2026,"DIRECT DEBIT 414384 CPA AUSTRALIA MEMBERSHIP",-745.00,25253.81
04/08/2026,"EFTPOS 7821 BRISBANE QL",-266.31,24987.50
05/08/2026,"VISA PURCHASE 05/08 UBER TRIP 924031",-62.56,24924.94
06/08/2026,"EFTPOS TOBYS ESTATE NEWCASTLE",-36.77,24888.17
06/08/2026,"DIRECT DEBIT 402317 HOSTPLUS SUPER",-901.06,23987.11
08/08/2026,"DIRECT CREDIT 832199 ATLAS PROPERTY GRP",10233.60,34220.71
10/08/2026,"DIRECT DEBIT 777468",-359.19,33861.52
11/08/2026,"VISA PURCHASE 11/08 ATLASSIAN",-77.39,33784.13
13/08/2026,"EFTPOS TOBYS ESTATE PENRITH NSW",-9.44,33774.69
13/08/2026,"TRANSFER TO 736846 OWNER DRAWINGS",-5683.10,28091.59
14/08/2026,"DIRECT CREDIT 541424 PACIFIC FITOUTS",12752.82,40844.41
14/08/2026,"TFR 927621",-2215.65,38628.76
16/08/2026,"OSKO PAYMENT TO MERIVALE HOLDINGS PTY LTD",-48602.35,-9973.59
17/08/2026,"EFTPOS CAMPOS COFFEE SPRINGVALE",-38.97,-10012.56
18/08/2026,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 479561",3301.48,-6711.08
18/08/2026,"VISA PURCHASE 18/08 ATLASSIAN",-75.57,-6786.65
18/08/2026,"TRANSFER TO 452038 OWNER DRAWINGS",-5520.56,-12307.21
19/08/2026,"CREDIT INTEREST PAID",17.01,-12290.20
19/08/2026,"ACCOUNT KEEPING FEE",-6.00,-12296.20
20/08/2026,"EFTPOS THE DAILY GRIND BLACKTOWN",-17.19,-12313.39
20/08/2026,"VISA PURCHASE 20/08 OFFICEWORKS 9013",-253.12,-12566.51
21/08/2026,"DIRECT DEBIT 567265 OPTUS BILLING",-95.44,-12661.95
21/08/2026,"DIRECT DEBIT 421441",-238.13,-12900.08
22/08/2026,"EFTPOS 5240 RICHMOND VIC",-385.92,-13286.00
24/08/2026,"VISA PURCHASE 24/08 UBER TRIP 762005",-28.15,-13314.15
25/08/2026,"DIRECT CREDIT 515618 WESTFIELD RETAIL",9902.98,-3411.17
25/08/2026,"EFTPOS THE DAILY GRIND GEELONG VIC",-21.78,-3432.95
28/08/2026,"DIRECT CREDIT 522765 BRIGHTON HOMES",6912.57,3479.62
01/09/2026,"EFTPOS SEVEN SEEDS PENRITH NSW",-37.20,3442.42
10/09/2026,"OSKO PAYMENT FROM NORTHSIDE BUILDERS INV 540628",7836.86,11279.28
10/09/2026,"EFTPOS TOBYS ESTATE PARRAMATTA",-32.52,11246.76
11/09/2026,"VISA PURCHASE 11/09 OFFICEWORKS 6258",-256.53,10990.23
11/09/2026,"VISA PURCHASE 11/09 UBER TRIP 692290",-67.26,10922.97
14/09/2026,"OSKO PAYMENT FROM PACIFIC FITOUTS INV 910895",10295.12,21218.09
