Date,Description,Reference,Amount,Balance
01-09-2026,OPENING BALANCE,,12000,12000
02/09/2026,OFFICEWORKS - STATIONERY,,-550.0,11450.0
03/09/2026,TELSTRA BUSINESS INTERNET,,-220.0,11230.0
04/09/2026,CUSTOMER PAYMENT - INV 1045,,3500.0,14730.0
05/09/2026,ADOBE CREATIVE CLOUD,,-1100.0,13630.0
06/09/2026,GOOGLE ADS AUSTRALIA,,-660.0,12970.0
07/09/2026,OFFICE RENT - SEPTEMBER,,-2000.0,10970.0
08/09/2026,ENERGYAUSTRALIA - ELECTRICITY,,-330.0,10640.0
09/09/2026,CUSTOMER PAYMENT - INV 1048,,4200.0,14840.0
10/09/2026,XERO SUBSCRIPTION,,-550.0,14290.0
11/09/2026,QANTAS BUSINESS TRAVEL,,-440.0,13850.0
12/09/2026,ALLIANZ BUSINESS INSURANCE,,-800.0,13050.0
13/09/2026,BANK ACCOUNT FEE,,-35.0,13015.0
14/09/2026,CANVA PRO SUBSCRIPTION,,-330.0,12685.0
15/09/2026,CUSTOMER PAYMENT - INV 1051,,2800.0,15485.0
16/09/2026,OFFICEWORKS - COMPUTER ACCESSORIES,,-880.0,14605.0
17/09/2026,BUSINESS LOAN - PRINCIPAL REPAYMENT,,-2000.0,12605.0
17/09/2026,INTEREST ON BUSINESS LOAN,,-300.0,12305.0
18/09/2026,TELSTRA MOBILE SERVICES,,-165.0,12140.0
19/09/2026,META ADS AUSTRALIA,,-550.0,11590.0
20/09/2026,CUSTOMER PAYMENT - INV 1055,,5100.0,16690.0
21/09/2026,ATO GST PAYMENT,,-1200.0,15490.0
22/09/2026,LEGAL SERVICES - SMITH & CO,,-990.0,14500.0
23/09/2026,OFFICE CLEANING SERVICES,,-275.0,14225.0
24/09/2026,PAYROLL - EMPLOYEE WAGES,,-2500.0,11725.0
25/09/2026,CUSTOMER PAYMENT - INV 1059,,3900.0,15625.0
26/09/2026,UBER BUSINESS TRAVEL,,-132.0,15493.0
27/09/2026,MICROSOFT 365 BUSINESS,,-330.0,15163.0
28/09/2026,OFFICE RENT - OCTOBER,,-2000.0,13163.0
29/09/2026,ACCOUNTING SERVICES,,-550.0,12613.0
30/09/2026,CUSTOMER PAYMENT - INV 1062,,4600.0,17213.0
