Date,Description,Amount,Balance
02/07/2026,PROGRESS CLAIM 2039 KELLYVILLE,"8,800.00","51,300.00"
03/07/2026,VISA PURCHASE BUNNINGS 6421 ALEXANDRIA CARD 4523,-412.35,"50,887.65"
06/07/2026,AMPOL FOODARY 3391 SILVERWATER,-138.90,"50,748.75"
07/07/2026,ACCOUNT KEEPING FEE,-15.00,"50,733.75"
10/07/2026,TELSTRA BILL PAYMENT 20881234,-189.00,"50,544.75"
14/07/2026,PROGRESS CLAIM 2041 KELLYVILLE,"11,000.00","61,544.75"
15/07/2026,TRANSFER TO SAVINGS ACC 4423,"-5,000.00","56,544.75"
17/07/2026,BUNNINGS 6421 ALEXANDRIA,-1287.60,"55,257.15"
20/07/2026,PAYROLL RUN 14 WAGES,"-4,800.00","50,457.15"
20/07/2026,AUSTRALIANSUPER CLEARING HOUSE,-528.00,"49,929.15"
24/07/2026,OFFICEWORKS 0142 AUBURN,-96.50,"49,832.65"
28/07/2026,AGL ENERGY 3820119,-342.10,"49,490.55"
31/07/2026,RENT WORKSHOP 12 SILVERWATER RD,"-3,300.00","46,190.55"
03/08/2026,ATO PAYMENT 5512983,"-2,950.00","43,240.55"
05/08/2026,MITRE 10 GRANVILLE,-215.45,"43,025.10"
06/08/2026,ACCOUNT KEEPING FEE,-15.00,"43,010.10"
10/08/2026,DIRECT CREDIT CONCRETE PLUS PTY LTD INV 5578,"6,600.00","49,610.10"
11/08/2026,LOAN REPAYMENT WESTPAC EQUIP FIN,-1066.19,"48,543.91"
12/08/2026,VISA PURCHASE SHELL COLES EXPRESS 4423,-142.30,"48,401.61"
17/08/2026,PAYROLL RUN 15 WAGES,"-4,800.00","43,601.61"
17/08/2026,AUSTRALIANSUPER CLEARING HOUSE,-528.00,"43,073.61"
19/08/2026,SYDNEY WATER,-186.40,"42,887.21"
21/08/2026,FORMWORK PLUS SUBCONTRACT INV 117,"-2,750.00","40,137.21"
24/08/2026,ADOBE SYSTEMS SOFTWARE,-89.99,"40,047.22"
28/08/2026,BP CONNECT SMITHFIELD,-121.75,"39,925.47"
31/08/2026,RENT WORKSHOP 12 SILVERWATER RD,"-3,300.00","36,625.47"
31/08/2026,INTEREST CHARGED,-12.40,"36,613.07"
02/09/2026,PROGRESS CLAIM 2044 ROUSE HILL,"14,300.00","50,913.07"
04/09/2026,PARRAMATTA CITY COUNCIL RATES,-640.00,"50,273.07"
07/09/2026,ACCOUNT KEEPING FEE,-15.00,"50,258.07"
08/09/2026,HARVEY NORMAN COMMERCIAL LAPTOP,"-2,199.00","48,059.07"
